serial,year,district,area,rent,pop_now,pop_prev,pop_2yr_ago,airbnb_now,airbnb_prev,airbnb_2yr_ago,airden_now,airden_prev,airden_2yr_ago,popden_now,popden_prev,popden_2yr_ago,adp_now,adp_prev,adp_2yr_ago
177,2022,Kucukcekmece,37.54,8541,808955,805929,789632,230,76,83,0.00028432,0.0000943,0.00010511,21549,21469,21034,0.028432,0.00943,0.010511
178,2022,Maltepe,52.97,10774,528544,525566,515021,358,145,130,0.00067733,0.00027589,0.00025242,9978,9922,9723,0.067733,0.027589,0.025242
179,2022,Pendik,179.99,7587,750435,741895,726481,225,98,83,0.00029983,0.00013209,0.00011425,4169,4122,4036,0.029983,0.013209,0.011425
180,2022,Sancaktepe,62.42,6797,489848,474668,456861,41,22,20,0.0000837,0.00004635,0.00004378,7848,7604,7319,0.00837,0.004635,0.004378
181,2022,Sariyer,151.3,29515,350454,349968,335298,268,162,160,0.00076472,0.0004629,0.00047719,2316,2313,2216,0.076472,0.04629,0.047719
182,2022,Sile,781.72,8546,43464,41627,37904,241,122,111,0.00554482,0.00293079,0.00292845,56,53,48,0.554482,0.293079,0.292845
183,2022,Silivri,869.52,5247,217163,209014,200215,78,27,29,0.00035918,0.00012918,0.00014484,250,240,230,0.035918,0.012918,0.014484
184,2022,Sisli,34.8,14791,276528,284294,266793,"3,956","1,888","1,921",0.01430597,0.00664101,0.00720034,7946,8169,7666,1.430597,0.664101,0.720034
185,2022,Sultanbeyli,29.1,5884,358201,349485,343318,19,8,11,0.00005304,0.00002289,0.00003204,12309,12010,11798,0.005304,0.002289,0.003204
186,2022,Sultangazi,36.3,6537,542531,543380,537488,33,12,9,0.00006083,0.00002208,0.00001674,14946,14969,14807,0.006083,0.002208,0.001674
187,2022,Tuzla,123.63,7867,288875,284440,273608,88,43,52,0.00030463,0.00015117,0.00019005,2337,2301,2213,0.030463,0.015117,0.019005
188,2022,Umraniye,45.31,8954,732379,726758,713803,282,120,101,0.00038505,0.00016512,0.0001415,16164,16040,15754,0.038505,0.016512,0.01415
189,2022,Uskudar,35.33,11967,524452,525395,520771,598,269,199,0.00114024,0.000512,0.00038213,14844,14871,14740,0.114024,0.0512,0.038213
190,2022,Zeytinburnu,11.59,10845,292616,293839,283657,177,54,64,0.00060489,0.00018377,0.00022562,25247,25353,24474,0.060489,0.018377,0.022562
,,,,,,,,,,,,,,,,,0,0,0
