#,Year,District,Area (sqkm),Rent,Population (t),Population (t-1),Population (t-2),Airbnb (t),Airbnb (t-1),Airbnb (t-2),AirDen (t),AirDen (t-1),AirDen (t-2),PopDen (t),PopDen (t-1),PopDen (t-2)
47,2019,Basaksehir,104.3,"2,423","460,259","427,835","396,729",197,74,46,0.000428,0.000173,0.000116,"4,413","4,102","3,804"
48,2019,Bayrampasa,9.61,"1,527","274,735","271,073","274,197",8,5,14,0.000029,0.000018,0.000051,"28,588","28,207","28,532"
49,2019,Besiktas,18.01,"6,353","182,649","181,074","185,447",767,520,566,0.004199,0.002872,0.003052,"10,142","10,054","10,297"
50,2019,Beykoz,310.36,"2,357","248,260","246,700","251,087",50,35,27,0.000201,0.000142,0.000108,800,795,809
51,2019,Beylikduzu,37.78,"1,885","352,412","331,525","314,662",62,27,29,0.000176,0.000081,0.000092,"9,328","8,775","8,329"
52,2019,Beyoglu,8.91,"3,320","233,323","230,526","236,606","3,678",2267,2123,0.015764,0.009834,0.008973,"26,187","25,873","26,555"
53,2019,Buyukcekmece,157.72,"1,842","254,103","247,736","243,474",75,64,39,0.000295,0.000258,0.000160,"1,611","1,571","1,544"
54,2019,Catalca,1040.38,"1,374","73,718","72,966","69,057",9,5,10,0.000122,0.000069,0.000145,71,70,66
55,2019,Cekmekoy,148.16,"1,219","264,508","251,937","248,859",17,17,16,0.000064,0.000067,0.000064,"1,785","1,700","1,680"
56,2019,Esenler,18.43,"1,350","450,344","444,561","454,569",7,9,3,0.000016,0.000020,0.000007,"24,435","24,122","24,665"
57,2019,Esenyurt,43.13,"1,598","954,579","891,120","846,492",342,191,140,0.000358,0.000214,0.000165,"22,133","20,661","19,627"
58,2019,Eyupsultan,228.42,"2,652","400,513","383,909","381,114",99,46,33,0.000247,0.000120,0.000087,"1,753","1,681","1,668"
59,2019,Fatih,15.59,"1,840","443,090","436,539","433,873","1,117",729,865,0.002521,0.001670,0.001994,"28,421","28,001","27,830"
60,2019,Gaziosmanpasa,11.76,"1,404","491,962","487,046","497,959",41,30,21,0.000083,0.000062,0.000042,"41,834","41,415","42,343"
61,2019,Gungoren,7.21,"1,688","289,441","289,331","296,967",24,21,29,0.000083,0.000073,0.000098,"40,144","40,129","41,188"
62,2019,Kadikoy,25.09,"3,158","482,713","458,638","451,453",815,541,368,0.001688,0.001180,0.000815,"19,239","18,280","17,993"
63,2019,Kagithane,14.87,"1,652","448,025","437,026","442,694",205,109,71,0.000458,0.000249,0.000160,"30,129","29,390","29,771"
64,2019,Kartal,38.54,"1,584","470,676","461,155","463,433",89,38,21,0.000189,0.000082,0.000045,"12,213","11,966","12,025"
65,2019,Kucukcekmece,37.54,"1,854","792,820","770,316","770,392",73,44,44,0.000092,0.000057,0.000057,"21,119","20,520","20,522"
66,2019,Maltepe,52.97,"1,725","513,316","497,034","497,586",137,86,66,0.000267,0.000173,0.000133,"9,691","9,383","9,394"
67,2019,Pendik,179.99,"1,306","711,894","693,599","698,260",64,46,42,0.000090,0.000066,0.000060,"3,955","3,854","3,879"
68,2019,Sancaktepe,62.42,"1,438","436,733","414,143","402,391",23,10,4,0.000053,0.000024,0.000010,"6,997","6,635","6,447"
69,2019,Sariyer,151.3,"5,691","347,214","342,503","344,876",146,105,117,0.000420,0.000307,0.000339,"2,295","2,264","2,279"
70,2019,Sile,781.72,"1,505","37,692","36,516","35,131",70,30,33,0.001857,0.000822,0.000939,48,47,45
71,2019,Silivri,869.52,"1,260","193,680","187,621","180,524",34,19,12,0.000176,0.000101,0.000066,223,216,208
72,2019,Sisli,34.8,"2,670","279,817","274,289","274,196","1,536",935,768,0.005489,0.003409,0.002801,"8,041","7,882","7,879"
73,2019,Sultanbeyli,29.1,"1,270","336,021","327,798","329,985",9,7,3,0.000027,0.000021,0.000009,"11,547","11,265","11,340"
74,2019,Sultangazi,36.3,"1,177","534,565","523,765","528,514",6,6,1,0.000011,0.000011,0.000002,"14,726","14,429","14,560"
75,2019,Tuzla,123.63,"1,435","267,396","255,459","252,922",38,22,14,0.000142,0.000086,0.000055,"2,163","2,066","2,046"
76,2019,Umraniye,45.31,"1,470","710,280","690,193","699,897",89,33,24,0.000125,0.000048,0.000034,"15,676","15,233","15,447"
77,2019,Uskudar,35.33,"1,896","531,825","529,145","533,570",219,163,126,0.000412,0.000308,0.000236,"15,053","14,977","15,102"
78,2019,Zeytinburnu,11.59,"1,882","293,574","284,935","287,378",53,34,17,0.000181,0.000119,0.000059,"25,330","24,585","24,795"
79,2020,Adalar,11.05,N/A,"16,033","15,238","16,119",116,109,107,0.007235,0.007153,0.006638,"1,451","1,379","1,459"
80,2020,Arnavutkoy,506.55,"1,252","296,709","282,488","270,549",33,21,6,0.000111,0.000074,0.000022,586,558,534
81,2020,Atasehir,25.2,"2,061","422,594","425,094","416,318",194,174,109,0.000459,0.000409,0.000262,"16,770","16,869","16,521"
82,2020,Avcilar,42.01,"2,068","436,897","448,882","435,625",123,95,40,0.000282,0.000212,0.000092,"10,400","10,685","10,370"
83,2020,Bagcilar,22.36,"1,643","737,206","745,125","734,369",156,78,55,0.000212,0.000105,0.000075,"32,970","33,324","32,843"
